KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,LATE_DAY_SIZE_FACTOR,LATE_DAY_SPREAD_FACTOR,LATE_DAY_TIMESTAMP,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,SQUID_BETA,SQUID_LONG_EMA_WINDOW,SQUID_MM_EDGE,SQUID_SHORT_EMA_WINDOW,SQUID_TAKE_WIDTH,SQUID_TREND_BIAS,SQUID_TREND_THRESHOLD,SQUID_VOL_THRESHOLD,profit
0.5749080237694725,2.4162143208968576,7.587945476302646,0.5993292420985183,1.3248149123539492,815599,1.8406585285177397,8.795585311974417,0.6202230023486417,31,8.08233797718321,10,9.162213204002109,0.5274034664069657,1.1818249672071006,8,50359
0.5608484485919075,1.6920859337748042,4.887505167779041,0.44561457009902095,1.6894823157779035,813949,2.0045012539746527,4.297256589643226,0.5912139968434071,34,8.798695128633439,7,7.962072844310212,0.42787024763199866,1.6075448519014384,8,36728
0.5130103185970559,2.4131054133306664,9.690688297671034,0.7041986740582306,1.4436910153386966,809767,2.2789631185585097,4.961372443656412,0.5244076469689558,25,8.137554084460874,9,6.293899908000085,0.7975133706123891,1.311711076089411,13,24449
0.6093420558686559,1.114252574393396,9.726261649881026,0.6875664116805573,1.9515991532513512,889483,2.2185299851677596,9.296868115208051,0.5176985004103839,16,8.180909155642151,5,6.94338644844741,0.5628094190643376,1.8287375091519293,10,37808
0.5561869019374761,1.7225833413690224,2.2683180247728636,0.7010984903770199,1.2596405149438166,898689,2.3405713385076603,2.7884411338075514,0.5011044234247205,34,10.82742937539047,8,8.85635173342973,0.44442679104045424,1.3584657285442727,7,37132
0.6029425257685486,2.37158370546004,8.673933272859216,0.5672845380428595,1.3069074288278177,815605,2.1341363459426352,6.556187004690184,0.6957234208358132,35,9.657472406237654,5,5.06743502220694,0.40462905323364634,1.4744390978139434,6,22431
0.5180344273041743,2.3047566012691765,2.61614194361648,0.6854241082781201,1.3106274797807431,872785,1.9669057039640825,1.3728624989015734,0.5317822402697001,34,11.037661064515694,7,7.676249581025724,0.42842837511657267,1.3532843235351009,19,29282
0.5298179008940447,1.6729626698636775,6.675176847907217,0.4349230082304055,1.7272028856628223,828061,2.015762911903005,1.4617107972099272,0.6425551037969875,37,8.424572307535325,5,6.837435603315622,0.5665890009774965,1.5974892024524805,6,35957
0.5476216954889808,1.662733960634121,3.8957662401486117,0.6051893440430041,1.93078229086121,883043,2.015089913761515,6.7446094216608214,0.6955908350719537,28,10.334987076834526,4,5.862323258870772,0.5001142252289466,1.9974030984044262,8,37782
0.6748622552909018,1.5958847934893439,2.0632155519288546,0.5804859596137282,1.9863154961527605,865606,2.227272595847315,1.1828558520372727,0.5682638686803081,29,11.704263230291183,5,8.222827332500662,0.7911003508892853,1.7886191221323111,10,34383
0.5631302239813223,1.9280186679273652,8.238129650211892,0.30158343083999534,1.7613497572389756,853681,2.1300626185677807,7.159229493082675,0.5209236539565903,36,9.51528345995726,5,6.841810227059101,0.4902027856126619,1.9851417060015488,16,32755
0.6616290213463614,1.8984876223453158,6.938699490922024,0.3255533095114853,1.8670093337707137,823358,1.8137098337700783,3.4389713202744208,0.5861399540215643,15,8.70718500347947,5,9.947607635284406,0.7177075550966119,1.2107501720484597,7,62278
0.6861164945365313,2.223843245248308,8.051854484725704,0.33625853349699225,1.9948796455298028,898721,2.4370297163927193,8.15433006992003,0.6688202713898698,13,9.269719023510712,3,6.952026120903179,0.824330198287414,1.1422900800627578,18,21318
0.6063559539853436,1.6131024193219172,5.389459093723093,0.7507512750745251,1.6178349119517794,895313,2.075367355232589,4.123071104478454,0.5199644967158412,20,11.442754257967643,5,8.601388913836965,0.8639932730705582,1.6672065152149604,7,36931
0.6137430217959216,2.1957003042820906,2.512797524516877,0.7706981669713953,1.3906917120394227,821179,2.4203980146627044,7.8885682697528345,0.5379561651298339,34,10.513965315005471,3,5.8018481551047465,0.42923069782947026,1.692745929126607,17,27849
0.6281515025386021,1.726662599291367,4.5960518305129945,0.6699790910721051,1.2213255282257023,855110,1.9972378077598867,3.2800477542448263,0.6783101152517528,21,9.147201264474997,9,8.023790187342167,0.5953918471604471,1.3009550883332759,18,69879
0.5737940296047874,1.7835693951183864,9.113201932883426,0.30074311354789,1.5196313902637173,866760,1.838688281967896,8.495782884655748,0.6225970000405723,18,10.976228843850652,5,7.906078185458082,0.5749187316668164,1.3726990748869627,8,67093
0.5440818269063712,1.4006221618826262,1.0449264528240585,0.6627443202633918,1.6894072713266137,829443,1.9550536102971758,7.127214411652277,0.5965878937341963,31,8.723975602507384,8,7.059962975999579,0.8659979939309904,1.4098986865509904,8,70264
0.552409727145206,1.9929812279580783,7.675271202489702,0.49513519787140625,1.6347971717974705,810855,2.093764260704022,1.545663202203611,0.6311368259199747,27,9.079389623176331,7,8.84357811410625,0.6797665378258756,1.9849695281856226,16,33242
0.6527308060034192,1.1327113968340723,8.248415399746314,0.3830790608929456,1.6061020546288125,830424,2.2255986212979675,7.449823047689428,0.6959037130541456,16,9.017179408264209,7,6.814193226350557,0.8265962691640647,1.811431853254621,10,41800
0.6552845023261143,2.271845950885507,8.89191877231547,0.4561298426539029,1.6852942286519155,844380,1.808798953938776,8.412182732292079,0.576754692997024,38,10.001373708285318,8,9.416475678532393,0.8388172863063819,1.99105215750131,17,55902
0.5158000136786207,1.5919137933472434,6.8025127484412,0.5950358511407575,1.5113588099863002,860573,2.3464426888203893,8.308616131951315,0.6721782161551124,17,8.699152229883879,7,7.756340420609007,0.73323871821019,1.533987736881428,10,39963
