KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,profit
0.5749080237694725,2.4162143208968576,7.587945476302646,2.2190609389379254,2.4041677639819286,19989
0.5311989040672406,0.8987421406859392,8.795585311974417,2.2207805082202463,7.372653200164409,30740
0.5041168988591604,2.4488467486753906,8.491983767203795,1.9486373774747934,2.636424704863906,55806
0.5366809019706867,1.3172118130312143,5.72280788469014,2.1023615130494813,3.6210622617823773,35950
0.3745401188473625,9.556428757689245,7.587945476302646,6.387926357773329,2.4041677639819286,0
0.15599452033620265,1.5227525095137953,8.795585311974417,6.41003510568888,7.372653200164409,21186
0.3745401188473625,9.556428757689245,7.587945476302646,6.387926357773329,2.4041677639819286,0
0.15599452033620265,1.5227525095137953,8.795585311974417,6.41003510568888,7.372653200164409,21186
0.020584494295802447,9.72918866945795,8.491983767203795,2.9110519961044856,2.636424704863906,20043
0.18340450985343382,3.7381801866358395,5.72280788469014,4.887505167779041,3.6210622617823773,14341
0.6118528947223795,2.2554447458683766,3.629301836816963,4.297256589643226,5.104629857953324,19436
0.3415830522895853,9.995054706927672,8.637987806084615,3.3402103583047205,2.7559522510554477,22997
0.9368641007556333,9.924544648174765,8.712659416184891,2.9952909049640546,4.748622684147765,20623
0.9307372048656481,8.524624414634399,9.309227609523985,3.248819840566349,3.602523742833911,22368
0.6779612471722908,7.81225070339528,9.903077303401878,3.35655180132194,5.839608810440712,23110
0.6404218767233791,7.378599821235096,9.512426719422098,1.125740511926116,5.470279080933975,39783
0.4603597704129775,6.169625907363104,8.765137532739779,1.1717528291482728,5.82393612623093,40441
0.9778460356379528,5.385326958601934,9.83341337217394,1.038848664372375,6.3875710148386045,38542
0.03676248849746533,6.5267270647864954,7.929525950373818,1.1791197067147063,9.05446022109669,40546
0.9849339799998027,7.455545479924118,9.854702127330302,1.173576100667756,9.583202903922384,40467
0.5781646379369733,9.290325247292776,7.555574755473754,1.1886489875220774,9.88127202784316,40681
0.19472645685670986,9.031256299516963,3.8417181984737594,1.080757893338665,9.784540478640597,39142
0.1303718268445111,5.068387251896569,2.613418603269557,1.1128519501809986,9.7388644526484,39600
0.5794421044164806,7.134742545394192,1.227622467545637,4.703543385708313,9.72989115731843,13772
0.8767432409115757,2.3558358279817337,5.9367091183777685,1.1205313488122313,9.463363625473391,46043
0.018988939589665632,1.5838913456085528,9.218741211722286,1.302610280701748,9.817481123645697,58295
0.2441519232581436,1.1983501296252679,8.019258748045754,1.192371357208048,7.292864249013317,61410
0.39372125047845463,1.2869653485506367,9.724705112404466,1.2075140009611809,4.253915027119396,62099
0.15008001301085105,1.0307488446167636,9.773464015762112,1.384310182439692,6.254308208316938,63414
0.18548083712222352,1.6706392463465713,8.657373718950506,1.171844129234495,1.1263052137224558,30947
0.14210786705178868,1.9903148529797718,7.366055257992785,1.068095107858019,5.208366830892167,54516
0.8200814694713366,1.4847654117184468,9.213771891537977,1.2243790593538721,6.022973700629444,61318
0.514026473691656,1.0360201310382533,2.632831470458928,9.929308377742476,1.4564409095364277,19288
0.07920970654502191,1.018778975061507,9.497204035995004,1.2285716211518363,8.749941205256977,61358
0.5241590499775861,1.0563119336272684,9.5590204065006,2.428738515304022,4.162395948914477,36687
0.10913734637617256,2.4536577086270936,9.545082780985567,1.246338052256196,5.482153268907023,47703
0.3745401188473625,9.556428757689245,7.587945476302646,6.387926357773329,2.4041677639819286,0
0.15599452033620265,1.5227525095137953,8.795585311974417,6.41003510568888,7.372653200164409,21186
0.020584494295802447,9.72918866945795,8.491983767203795,2.9110519961044856,2.636424704863906,20043
0.18340450985343382,3.7381801866358395,5.72280788469014,4.887505167779041,3.6210622617823773,14341
0.6118528947223795,2.2554447458683766,3.629301836816963,4.297256589643226,5.104629857953324,19436
0.3415830522895853,9.995054706927672,8.637987806084615,3.3402103583047205,2.7559522510554477,22997
0.9368641007556333,9.924544648174765,8.712659416184891,2.9952909049640546,4.748622684147765,20623
0.9307372048656481,8.524624414634399,9.309227609523985,3.248819840566349,3.602523742833911,22368
0.6779612471722908,7.81225070339528,9.903077303401878,3.35655180132194,5.839608810440712,23110
0.6404218767233791,7.378599821235096,9.512426719422098,1.125740511926116,5.470279080933975,39783
0.4603597704129775,6.169625907363104,8.765137532739779,1.1717528291482728,5.82393612623093,40441
0.9778460356379528,5.385326958601934,9.83341337217394,1.038848664372375,6.3875710148386045,38542
0.03676248849746533,6.5267270647864954,7.929525950373818,1.1791197067147063,9.05446022109669,40546
0.9849339799998027,7.455545479924118,9.854702127330302,1.173576100667756,9.583202903922384,40467
